Name,B,G
865780_TiMn2Ga,138.71,70.6785
864672_NbSiTc2,248.83599999999998,71.1126
22916_NaBr,21.0674,11.6921
1114579_Rb2LiTaCl6,25.0464,8.25135
867168_Sr2SbAu,38.0758,23.3419
930_ZrP,141.352,23.7543
579_CrC,335.31300000000005,187.847
1111540_Na2AgAuF6,61.7945,13.7637
865577_Li2CdAu,49.869,4.2521
1113091_Cs2InSbF6,32.6033,13.1783
19971_ZnCo2Ge,185.685,36.711999999999996
12644_Ba2LuNbO6,122.89,88.1583
1114381_Rb3YF6,29.927,16.4472
1113305_Cs2HgAuBr6,25.8903,5.245769999999999
1500_BaS,41.5599,25.9961
865517_YZnRh2,123.66,15.1978
1112064_K2SbAuI6,21.0357,5.7682
981312_ZrCu2Hg,128.644,49.966
1095155_Sr2NiIrO6,83.1056,40.0943
865582_Li2CdPd,52.6794,31.0453
1113338_Rb2ScAgCl6,27.7596,8.83496
1113094_Cs2InSbBr6,16.3213,7.3939
1111028_Na2LiYF6,50.0189,22.8761
1111111_K2LiAuF6,48.0534,11.3132
865640_TiGeRu2,232.355,105.134
1114387_Rb2InAsF6,42.7722,13.2625
867112_AcInTe2,41.5436,17.0549
1114647_Rb2YHgCl6,20.008,4.765
1112608_Cs2KSbF6,37.4025,15.8186
1113483_Na3TlI6,12.8999,4.39772
977138_NaTc3,188.50099999999998,70.2345
8426_K2Se,15.8426,8.406369999999999
1113536_Cs2TlAuCl6,24.8436,10.0861
21084_In6Ga2PtO8,133.07299999999998,56.2372
977550_ZrScOs2,191.83599999999998,73.0963
1111269_K2TlInI6,12.4431,4.75596
1111656_K2LiYBr6,18.0587,8.23752
1008376_CeH3,80.4406,23.2883
1112961_CsInCl3,17.08,6.23607
4583_NbCo2Sn,187.653,27.1636
1111188_Na2GaAgI6,20.9299,5.60958
862911_Ti2CoTc,194.63400000000001,103.751
24841_CoTe(PbO3)2,132.754,63.6194
31208_LiIn2Ir,106.79799999999999,28.7153
1111211_K2RbInBr6,13.5184,5.17734
972898_Sc2GaAu,97.5756,24.4996
16307_Sr2MgIrO6,124.87700000000001,72.9424
12801_CoCu2Sn,141.89,33.1928
